Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Finbert Compound,Date
2015-09-01,493.6282941911493,493.6282941911493,479.94996767901256,483.3816223144531,5234572,0.0,0.0,-0.9502286445349455,2015-09-01
2015-09-02,485.7982783814142,490.0757957016524,476.0832910444933,480.9891357421875,4340844,0.0,0.0,-0.9502286445349455,2015-09-02
2015-09-03,484.44494868604517,490.5832873440101,482.8499547356316,488.3116149902344,3253684,0.0,0.0,-0.9502286445349455,2015-09-03
2015-09-04,484.39667563733235,486.23333641557656,473.66666966924953,481.4241638183594,5702296,0.0,0.0,-0.9574497612658889,2015-09-04
2015-09-07,483.8166656323126,488.06999305648765,473.6666656540123,475.8175048828125,2690870,0.0,0.0,-0.9603382079582662,2015-09-07
2015-09-08,476.90498090820296,488.16664108464533,472.21664192049354,485.2908020019531,3722244,0.0,0.0,-0.9614935866352171,2015-09-08
2015-09-09,490.34161487866925,495.4166143426673,485.7499486969567,491.21160888671875,3276560,0.0,0.0,0.1703607870347797,2015-09-09
2015-09-10,484.78332727811454,491.5258330939619,481.5449880851648,488.6499938964844,2231870,0.0,0.0,0.6231025365027785,2015-09-10
2015-09-11,490.34162785805194,492.99996098098865,486.6199555858759,488.4082946777344,2150880,0.0,0.0,0.8041992362899779,2015-09-11
2015-09-14,487.6107963724879,494.11163527044306,485.02497497271315,492.85498046875,2530172,0.0,0.0,-0.03663950456924436,2015-09-14
2015-09-15,492.0091112424101,492.8307837067281,487.2482608022768,489.6891174316406,2166364,0.0,0.0,-0.37297500091293334,2015-09-15
2015-09-16,492.46836133873023,496.91500455145865,488.91584352163505,494.6191711425781,2127026,0.0,0.0,-0.507509199450409,2015-09-16
2015-09-18,500.2499237750989,513.2999217866233,498.38910252543593,507.37908935546875,3920584,0.0,0.0,-0.5613228788653992,2015-09-18
2015-09-21,501.6758117385952,509.916668705133,500.9024902023006,508.9258117675781,2138344,0.0,0.0,-0.5828483506313953,2015-09-21
2015-09-22,507.5242006309315,512.3333437955439,495.56170038664874,498.14752197265625,3012606,0.0,0.0,-0.5914585393377937,2015-09-22
2015-09-23,492.6133115647465,509.1674478012901,492.347484146409,507.11328125,2580576,0.0,0.0,0.05539480341637937,2015-09-23
2015-09-24,506.04995745418967,509.4332905030716,500.73329123451816,508.1766357421875,4126418,0.0,0.0,0.28912474485502565,2015-09-24
2015-09-28,509.9166953838314,512.3333621865984,504.1650165931151,505.7600402832031,2888554,0.0,0.0,0.38261672143048414,2015-09-28
2015-09-29,498.79996450698064,519.0516415327326,495.4649529441593,514.6533203125,5209420,0.0,0.0,0.42001351206066756,2015-09-29
2015-09-30,516.2000406596457,518.6167075166665,512.9858619396769,516.5867309570312,4513898,0.0,0.0,0.43497222831274096,2015-09-30
2015-10-01,519.6798923951558,520.5015943293877,512.0190721002997,516.03076171875,2517394,0.0,0.0,0.60877198644648,2015-10-01
2015-10-05,520.646569239255,533.986614548171,520.646569239255,530.8690795898438,4026686,0.0,0.0,0.8015093107250134,2015-10-05
2015-10-06,535.0499834084636,535.4849951951044,523.4499837681717,524.8757934570312,2379482,0.0,0.0,0.33703947803037565,2015-10-06
2015-10-07,525.866682946449,530.8691713011859,523.6191710767404,525.745849609375,2193134,0.0,0.0,0.15125154495252052,2015-10-07
2015-10-08,525.914957541411,527.1716123346902,519.7766481661737,523.498291015625,1940954,0.0,0.0,0.07693637172137849,2015-10-08
2015-10-09,529.2499610294343,529.2499610294343,522.0966046225677,524.9724731445312,1721614,0.0,0.0,0.04721030242892167,2015-10-09
2015-10-12,525.7215939151899,529.4916171629801,520.9366415630697,522.2658081054688,1108670,0.0,0.0,-0.5586732584082998,2015-10-12
2015-10-13,519.84914757407,523.0391355119605,518.7132671335005,520.2357788085938,911826,0.0,0.0,-0.8010266827431884,2015-10-13
2015-10-14,516.5866341384003,525.1416096086188,515.7408008969691,524.2957763671875,1374574,0.0,0.0,-0.8979680524771438,2015-10-14
2015-10-15,524.7549906616362,529.9750144037674,522.4833475334907,524.005859375,1962976,0.0,0.0,-0.936744600370726,2015-10-15
2015-10-16,526.8333333333333,532.3916666666667,524.4166666666666,531.6908569335938,2421844,0.0,0.0,0.16997343494586103,2015-10-16
2015-10-19,531.6666422036792,532.6816303568474,528.9116659307014,530.6033325195312,1327110,0.0,0.0,0.6126606490724958,2015-10-19
2015-10-20,530.6999816376107,533.0683266891288,527.4132914844041,529.20166015625,1925678,0.0,0.0,0.7897355347231498,2015-10-20
2015-10-21,531.1350118001302,533.5999999999999,524.4166666666666,529.25,3636602,0.0,0.0,-0.24915259386179955,2015-10-21
2015-10-23,531.4007734109622,538.2882729401904,529.7332971251974,535.7749633789062,2233524,0.0,0.0,-0.6647078452957793,2015-10-23
2015-10-26,538.4090772263851,538.5299105449423,530.2166018284726,532.3916015625,2443992,0.0,0.0,-0.04723866702429946,2015-10-26
2015-10-27,529.5158428888412,538.4333190520557,529.5158428888412,536.9349975585938,4492016,0.0,0.0,0.016245837698131812,2015-10-27
2015-10-28,534.1074993278709,543.266641978042,534.1074993278709,537.2249755859375,3847380,0.0,0.0,-0.2931143807610869,2015-10-28
