,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Finbert Compound
0,2015-09-01,493.6282941911493,493.6282941911493,479.94996767901256,483.3816223144531,5234572,0.0,0.0,-0.9502286445349456
1,2015-09-02,485.7982783814142,490.0757957016524,476.0832910444933,480.9891357421875,4340844,0.0,0.0,0.0
2,2015-09-03,484.4449486860452,490.5832873440101,482.8499547356316,488.3116149902344,3253684,0.0,0.0,0.0
3,2015-09-04,484.3966756373324,486.23333641557656,473.66666966924953,481.4241638183594,5702296,0.0,0.0,-0.9622638390865176
4,2015-09-07,483.8166656323126,488.0699930564877,473.6666656540123,475.8175048828125,2690870,0.0,0.0,0.0
5,2015-09-08,476.90498090820296,488.1666410846453,472.2166419204936,485.2908020019531,3722244,0.0,0.0,0.0
6,2015-09-09,490.3416148786693,495.4166143426673,485.7499486969567,491.2116088867188,3276560,0.0,0.0,0.9249303694814444
7,2015-09-10,484.78332727811454,491.5258330939619,481.5449880851648,488.6499938964844,2231870,0.0,0.0,0.0
8,2015-09-11,490.341627858052,492.9999609809887,486.6199555858759,488.4082946777344,2150880,0.0,0.0,0.0
9,2015-09-14,487.6107963724879,494.1116352704431,485.0249749727132,492.85498046875,2530172,0.0,0.0,-0.5971986651420593
10,2015-09-15,492.0091112424101,492.8307837067281,487.2482608022768,489.6891174316406,2166364,0.0,0.0,0.0
11,2015-09-16,492.46836133873023,496.91500455145865,488.9158435216351,494.6191711425781,2127026,0.0,0.0,0.0
12,2015-09-18,500.2499237750989,513.2999217866233,498.38910252543593,507.3790893554688,3920584,0.0,0.0,0.0
13,2015-09-21,501.6758117385952,509.916668705133,500.9024902023006,508.9258117675781,2138344,0.0,0.0,0.0
14,2015-09-22,507.5242006309315,512.3333437955439,495.5617003866488,498.14752197265625,3012606,0.0,0.0,0.0
15,2015-09-23,492.6133115647465,509.1674478012901,492.347484146409,507.11328125,2580576,0.0,0.0,0.4866303652524948
16,2015-09-24,506.04995745418967,509.4332905030716,500.73329123451816,508.1766357421875,4126418,0.0,0.0,0.4449447058141231
17,2015-09-28,509.9166953838314,512.3333621865984,504.1650165931151,505.7600402832031,2888554,0.0,0.0,0.0
18,2015-09-29,498.79996450698064,519.0516415327326,495.4649529441593,514.6533203125,5209420,0.0,0.0,0.0
19,2015-09-30,516.2000406596457,518.6167075166665,512.9858619396769,516.5867309570312,4513898,0.0,0.0,0.0
20,2015-10-01,519.6798923951558,520.5015943293877,512.0190721002997,516.03076171875,2517394,0.0,0.0,0.7246384918689728
21,2015-10-05,520.646569239255,533.986614548171,520.646569239255,530.8690795898438,4026686,0.0,0.0,0.9300008602440356
22,2015-10-06,535.0499834084636,535.4849951951044,523.4499837681717,524.8757934570312,2379482,0.0,0.0,0.0273929229006171
23,2015-10-07,525.866682946449,530.8691713011859,523.6191710767404,525.745849609375,2193134,0.0,0.0,0.0
24,2015-10-08,525.914957541411,527.1716123346902,519.7766481661737,523.498291015625,1940954,0.0,0.0,0.0
25,2015-10-09,529.2499610294343,529.2499610294343,522.0966046225677,524.9724731445312,1721614,0.0,0.0,0.0
26,2015-10-12,525.7215939151899,529.4916171629801,520.9366415630697,522.2658081054688,1108670,0.0,0.0,-0.9625956322997808
27,2015-10-13,519.84914757407,523.0391355119605,518.7132671335005,520.2357788085938,911826,0.0,0.0,0.0
28,2015-10-14,516.5866341384003,525.1416096086188,515.7408008969691,524.2957763671875,1374574,0.0,0.0,0.0
29,2015-10-15,524.7549906616362,529.9750144037674,522.4833475334907,524.005859375,1962976,0.0,0.0,0.0
30,2015-10-16,526.8333333333333,532.3916666666667,524.4166666666666,531.6908569335938,2421844,0.0,0.0,0.9077854584902524
31,2015-10-19,531.6666422036792,532.6816303568474,528.9116659307014,530.6033325195312,1327110,0.0,0.0,0.0
32,2015-10-20,530.6999816376107,533.0683266891288,527.4132914844041,529.20166015625,1925678,0.0,0.0,0.0
33,2015-10-21,531.1350118001302,533.5999999999999,524.4166666666666,529.25,3636602,0.0,0.0,-0.9417446795850992
34,2015-10-23,531.4007734109622,538.2882729401904,529.7332971251974,535.7749633789062,2233524,0.0,0.0,0.0
35,2015-10-26,538.4090772263851,538.5299105449423,530.2166018284726,532.3916015625,2443992,0.0,0.0,0.3644074518233537
36,2015-10-27,529.5158428888412,538.4333190520557,529.5158428888412,536.9349975585938,4492016,0.0,0.0,0.0585688408464193
37,2015-10-28,534.1074993278709,543.266641978042,534.1074993278709,537.2249755859375,3847380,0.0,0.0,-0.4993545264005661
38,2015-10-29,536.4998608450488,538.6748602809072,531.6665287653638,533.3823852539062,3351184,0.0,0.0,0.0
39,2015-10-30,532.6333394501706,537.4666728390107,527.0508157857997,531.4733276367188,4048730,0.0,0.0,0.0
40,2015-11-02,529.274159412642,529.6849809218961,520.308303001717,523.498291015625,1578276,0.0,0.0,0.0
41,2015-11-03,527.292539821108,527.8000634824119,521.6133724713659,524.368408203125,1274296,0.0,0.0,0.0
42,2015-11-04,526.8574743952105,530.7482719647782,521.1541179942731,522.8215942382812,1348222,0.0,0.0,0.0
43,2015-11-05,521.2749410731087,523.4499408272385,516.9249415648491,521.9274291992188,1798476,0.0,0.0,0.8691227473318577
44,2015-11-06,522.3382954941726,526.3499856517413,519.7041524995728,522.4349975585938,2940502,0.0,0.0,0.0
45,2015-11-09,511.36663027944337,516.9974750122338,507.98329718685727,514.6533203125,5714716,0.0,0.0,0.0
46,2015-11-10,512.3574070341581,514.749882889587,508.6840273360321,509.7232055664063,2201290,0.0,0.0,0.0
47,2015-11-13,507.20990830172656,509.9165626159584,503.1498973300594,508.4907531738281,1970014,0.0,0.0,-0.9652952644973992
48,2015-11-16,506.89583735555385,514.7500040845433,505.2041706754638,512.79248046875,2367366,0.0,0.0,-0.6750504076480865
49,2015-11-17,513.928303911795,514.169970553529,508.0799239813161,512.719970703125,1283702,0.0,0.0,0.0
50,2015-11-18,513.1549269616133,515.1607719018308,505.7116415458983,506.8232727050781,1223360,0.0,0.0,0.0
51,2015-11-19,509.9166044171659,517.625746542457,507.3065929356602,516.6349487304688,1638840,0.0,0.0,0.0
52,2015-11-20,514.7017047684087,522.1208600140691,512.3333595139211,517.5775146484375,2324080,0.0,0.0,0.0
53,2015-11-23,519.0999221122623,519.8249220034805,511.8741134633774,515.2574462890625,1704140,0.0,0.0,0.0
54,2015-11-24,514.8708027899492,518.858302553401,513.3482910801381,514.435791015625,2001126,0.0,0.0,0.0
55,2015-11-26,511.8498946979294,515.7165605691131,508.0315503500079,514.2423706054688,4395742,0.0,0.0,0.0
56,2015-11-27,514.6774380228554,523.0632587385068,512.7924264064991,521.7099609375,3462536,0.0,0.0,0.0
57,2015-11-30,521.6133464034349,522.4833700648595,517.0216794139658,520.9125366210938,2623888,0.0,0.0,0.0
